Sim_ID,Shipment_ID,Trigger_Second,Expected_Hub,Anomaly_Hub,Deviation_KM,Priority,Detection_Threshold_KM,Detection_Expected_Second,Plan_Expected_Second,Execute_Expected_Second,Matched_Truck,Demo_Order
SIM001,SH004,5,H02,H05,203.7,Critical,50,8,10,12,V001,1
SIM002,SH009,15,H01,H03,175.2,Critical,50,18,20,22,V002,2
SIM003,SH023,25,H01,H07,89.7,Critical,50,28,30,32,V005,3
SIM004,SH035,35,H01,H05,198.6,High,50,38,40,42,V015,4
SIM005,SH043,45,H02,H07,93.4,Critical,50,48,50,52,V009,5
SIM006,SH050,55,H01,H03,175.2,High,50,58,60,62,V011,6
SIM007,SH065,65,H04,H07,89.7,Critical,50,68,70,72,V019,7
SIM008,SH074,75,H03,H07,178.3,High,50,78,80,82,V017,8
SIM009,SH080,85,H02,H07,93.4,Critical,50,88,90,92,V009,9
SIM010,SH085,95,H08,H07,229.4,Critical,50,98,100,102,V021,10
SIM011,SH091,105,H01,H05,198.6,Critical,50,108,110,112,V015,11
SIM012,SH098,115,H05,H07,120.8,High,50,118,120,122,V019,12
SIM013,SH103,125,H04,H05,105.6,High,50,128,130,132,V014,13
SIM014,SH115,135,H08,H04,125.7,High,50,138,140,142,V013,14
SIM015,SH123,145,H08,H07,229.4,High,50,148,150,152,V021,15
SIM016,SH132,155,H02,H08,155.2,High,50,158,160,162,V041,16
SIM017,SH136,165,H02,H07,89.7,Medium,50,168,170,172,V009,17
SIM018,SH139,175,H01,H03,175.2,Critical,50,178,180,182,V002,18
SIM019,SH149,185,H02,H07,93.4,Critical,50,188,190,192,V009,19
SIM020,SH155,195,H04,H07,95.8,Medium,50,198,200,202,V019,20
