Route_ID,From_Hub,To_Hub,Distance_km,Duration_hr,Toll_Cost_INR,Fuel_Cost_INR,Cost_per_km_INR,Route_Status
R001,H01,H02,145,3.0,350,2610,25,Active
R002,H01,H03,175,3.5,420,3150,25,Active
R003,H01,H04,165,3.5,400,2970,25,Active
R004,H01,H05,200,4.0,480,3600,25,Active
R005,H01,H06,100,2.0,240,1800,25,Active
R006,H01,H07,90,2.0,220,1620,25,Active
R007,H01,H08,310,6.0,750,5580,25,Active
R008,H01,H26,570,9.0,1400,10260,27,Active
R009,H01,H27,630,10.0,1550,11340,27,Active
R010,H01,H28,275,5.0,660,4950,26,Active
R011,H01,H29,620,10.0,1500,11160,27,Active
R012,H01,H30,710,11.5,1700,12780,28,Active
R013,H01,H31,560,9.0,1350,10080,27,Active
R014,H01,H32,500,8.5,1200,9000,26,Active
R015,H02,H04,70,1.5,180,1260,24,Active
R016,H02,H05,110,2.5,280,1980,24,Active
R017,H02,H07,100,2.0,240,1800,24,Active
R018,H02,H09,65,1.5,160,1170,24,Active
R019,H02,H10,85,2.0,210,1530,24,Active
R020,H02,H11,90,2.0,220,1620,24,Active
R021,H03,H04,100,2.0,250,1800,24,Active
R022,H03,H08,140,3.0,350,2520,24,Active
R023,H03,H10,120,2.5,300,2160,24,Active
R024,H03,H11,130,2.5,320,2340,24,Active
R025,H03,H18,90,2.0,220,1620,24,Active
R026,H04,H08,180,3.5,440,3240,24,Active
R027,H04,H09,60,1.5,150,1080,24,Active
R028,H04,H11,55,1.2,140,990,24,Active
R029,H04,H12,75,1.5,190,1350,24,Active
R030,H05,H13,55,1.2,140,990,24,Active
R031,H05,H14,80,2.0,200,1440,24,Active
R032,H05,H24,60,1.5,150,1080,24,Active
R033,H06,H07,95,2.0,230,1710,24,Active
R034,H06,H16,110,2.5,280,1980,24,Active
R035,H06,H18,90,2.0,220,1620,24,Active
R036,H06,H19,100,2.0,250,1800,24,Active
R037,H06,H20,70,1.5,180,1260,24,Active
R038,H06,H21,80,2.0,200,1440,24,Active
R039,H06,H22,75,1.5,190,1350,24,Active
R040,H07,H14,55,1.2,140,990,24,Active
R041,H07,H15,70,1.5,180,1260,24,Active
R042,H07,H16,60,1.5,150,1080,24,Active
R043,H08,H09,120,2.5,300,2160,24,Active
R044,H08,H11,80,2.0,200,1440,24,Active
R045,H08,H12,95,2.0,230,1710,24,Active
R046,H09,H12,40,1.0,100,720,24,Active
R047,H09,H25,90,2.0,220,1620,24,Active
R048,H10,H16,70,1.5,180,1260,24,Active
R049,H10,H17,85,2.0,210,1530,24,Active
R050,H11,H12,65,1.5,160,1170,24,Active
R051,H13,H24,30,0.8,80,540,24,Active
R052,H14,H15,60,1.5,150,1080,24,Active
R053,H14,H28,150,3.0,380,2700,25,Active
R054,H15,H28,130,2.5,320,2340,25,Active
R055,H17,H18,45,1.0,110,810,24,Active
R056,H18,H19,55,1.2,140,990,24,Active
R057,H19,H31,510,9.0,1250,9180,27,Active
R058,H20,H21,40,1.0,100,720,24,Active
R059,H20,H23,25,0.6,60,450,24,Active
R060,H21,H22,30,0.8,80,540,24,Active
R061,H23,H26,340,6.0,850,6120,26,Active
R062,H24,H29,420,7.0,1050,7560,27,Active
R063,H25,H32,380,6.5,950,6840,26,Active
R064,H26,H27,350,6.0,880,6300,26,Active
R065,H28,H29,350,6.0,880,6300,26,Active
R066,H30,H31,150,3.0,380,2700,25,Active
R067,H31,H32,700,11.0,1700,12600,28,Active
R068,H02,H08,290,5.5,700,5220,25,Active
R069,H03,H12,180,3.5,440,3240,24,Active
R070,H04,H25,110,2.5,280,1980,24,Active
R071,H05,H28,180,3.5,440,3240,25,Active
R072,H07,H17,130,2.5,320,2340,24,Active
R073,H09,H32,420,7.5,1050,7560,26,Active
R074,H10,H12,100,2.0,250,1800,24,Active
R075,H11,H25,120,2.5,300,2160,24,Active
R076,H13,H28,230,4.5,570,4140,25,Active
R077,H14,H29,470,8.0,1150,8460,27,Active
R078,H15,H27,510,8.5,1250,9180,27,Active
R079,H16,H18,55,1.2,140,990,24,Active
R080,H17,H19,60,1.5,150,1080,24,Active
R081,H20,H26,380,6.5,950,6840,26,Active
R082,H21,H23,35,0.9,90,630,24,Active
R083,H22,H23,20,0.5,50,360,24,Active
R084,H24,H27,590,9.5,1450,10620,27,Active
R085,H25,H30,760,12.5,1850,13680,28,Active
R086,H26,H28,520,8.5,1300,9360,27,Active
R087,H27,H29,800,13.0,1950,14400,28,Active
R088,H28,H30,890,14.5,2150,16020,28,Active
R089,H29,H32,780,12.5,1900,14040,28,Active
R090,H30,H32,820,13.0,2000,14760,28,Active
R091,H02,H13,150,3.0,380,2700,25,Active
R092,H03,H05,280,5.0,680,5040,25,Active
R093,H04,H13,180,3.5,440,3240,24,Active
R094,H05,H08,290,5.5,700,5220,25,Active
R095,H06,H13,220,4.0,530,3960,25,Active
R096,H07,H13,190,3.5,460,3420,25,Active
R097,H08,H32,510,9.0,1250,9180,27,Active
R098,H09,H13,220,4.0,530,3960,25,Active
R099,H10,H14,140,2.5,350,2520,24,Active
R100,H11,H14,160,3.0,400,2880,24,Active
R101,H12,H13,180,3.5,440,3240,24,Active
R102,H13,H29,430,7.5,1050,7560,27,Active
R103,H14,H27,570,9.5,1400,10260,27,Active
R104,H15,H29,490,8.5,1200,8820,27,Active
R105,H16,H26,560,9.0,1400,10080,27,Active
R106,H17,H31,530,8.5,1300,9540,27,Active
R107,H18,H32,480,8.0,1180,8640,26,Active
R108,H19,H30,690,11.5,1700,12420,28,Active
R109,H20,H27,610,10.0,1500,10980,27,Active
R110,H21,H28,290,5.0,720,5220,25,Active
R111,H22,H28,280,5.0,700,5040,25,Active
R112,H23,H27,600,10.0,1480,10800,27,Active
R113,H24,H30,920,15.0,2250,16560,28,Active
R114,H25,H31,600,10.0,1480,10800,27,Active
R115,H26,H30,980,16.0,2400,17640,28,Active
R116,H27,H31,1180,19.0,2850,21240,28,Active
R117,H28,H31,870,14.0,2100,15660,28,Active
R118,H29,H30,1350,22.0,3300,24300,28,Active
R119,H30,H31,150,3.0,380,2700,25,Active
R120,H31,H32,700,11.0,1700,12600,28,Active
R121,H03,H01,175,3.5,438,3150,25,Active
R122,H04,H02,75,1.5,188,1350,25,Active
R123,H05,H01,198,4.0,495,3564,25,Active
R124,H05,H02,115,2.3,288,2070,25,Active
R125,H07,H02,135,2.7,338,2430,25,Active
R126,H07,H04,192,3.9,482,3471,25,Active
R127,H08,H01,305,6.1,762,5490,25,Active
R128,H08,H02,273,5.5,685,4931,25,Active
R129,H10,H03,127,2.6,319,2297,25,Active
R130,H10,H04,59,1.5,148,1069,25,Active
R131,H11,H03,108,2.2,272,1962,25,Active
R132,H11,H04,57,1.5,143,1029,25,Active
R133,H11,H08,130,2.6,327,2353,25,Active
R134,H14,H02,115,2.3,288,2075,25,Active
R135,H14,H05,72,1.5,180,1298,25,Active
R136,H14,H07,48,1.5,120,866,25,Active
R137,H16,H01,56,1.5,140,1012,25,Active
R138,H17,H03,89,1.8,224,1616,25,Active
