Assignment_ID,Shipment_ID,Vehicle_ID,Route_ID,Load_kg,Load_Volume_m3,Assignment_Status,Assigned_Time
ASN001,SH001,V001,R001,3500,12,Delivered,2026-09-17T10:30
ASN002,SH002,V002,R002,5000,18,In_Transit,2026-09-16T09:30
ASN003,SH003,,,,Misplaced,2026-09-17T08:30
ASN004,SH004,,,,Misplaced,2026-09-17T07:30
ASN005,SH005,V004,R005,3000,10,In_Transit,2026-09-18T11:30
ASN006,SH006,V002,R002,4000,14,Delivered,2026-09-17T12:30
ASN007,SH007,V007,R015,2500,9,Delivered,2026-09-16T14:30
ASN008,SH008,V012,R022,6000,20,Delivered,2026-09-15T10:30
ASN009,SH009,,,,Misplaced,2026-09-17T09:30
ASN010,SH010,V003,R004,1500,5,Delivered,2026-09-16T11:30
ASN011,SH011,V015,R030,5500,18,In_Transit,2026-09-17T13:30
ASN012,SH012,V004,R005,4000,13,Delivered,2026-09-15T08:30
ASN013,SH013,V009,R017,2000,7,Delivered,2026-09-16T15:30
ASN014,SH014,V012,R022,7000,23,Delivered,2026-09-14T10:30
ASN015,SH015,V011,R021,3500,12,In_Transit,2026-09-16T12:30
ASN016,SH016,V001,R001,2500,8,Delivered,2026-09-15T14:30
ASN017,SH017,,,,Misplaced,2026-09-17T10:30
ASN018,SH018,V008,R016,5000,17,Delivered,2026-09-16T09:30
ASN019,SH019,V004,R005,3000,10,Delivered,2026-09-15T11:30
ASN020,SH020,V013,R026,6500,22,Delivered,2026-09-14T08:30
ASN021,SH021,V019,R040,2000,7,In_Transit,2026-09-17T12:30
ASN022,SH022,V007,R015,4500,15,Delivered,2026-09-16T14:30
ASN023,SH023,,,,Misplaced,2026-09-17T09:30
ASN024,SH024,V013,R026,5500,18,Delivered,2026-09-15T10:30
ASN025,SH025,V002,R002,3000,10,Delivered,2026-09-16T11:30
ASN026,SH026,V001,R001,2500,8,Delivered,2026-09-15T13:30
ASN027,SH027,V011,R021,6000,20,In_Transit,2026-09-16T08:30
ASN028,SH028,V003,R004,4000,13,Delivered,2026-09-15T10:30
ASN029,SH029,V017,R033,3500,12,In_Transit,2026-09-17T14:30
ASN030,SH030,V012,R022,4500,15,Delivered,2026-09-15T12:30
ASN031,SH031,V005,R006,1500,5,Delivered,2026-09-16T15:30
ASN032,SH032,V011,R021,5000,17,Delivered,2026-09-16T10:30
ASN033,SH033,V012,R022,7000,23,Delivered,2026-09-14T09:30
ASN034,SH034,V001,R001,3000,10,Delivered,2026-09-16T12:30
ASN035,SH035,,,,Misplaced,2026-09-17T08:30
ASN036,SH036,V019,R040,4000,13,In_Transit,2026-09-17T11:30
ASN037,SH037,V004,R005,2000,7,Delivered,2026-09-15T14:30
ASN038,SH038,V007,R015,5500,18,In_Transit,2026-09-16T10:30
ASN039,SH039,V021,R043,4000,13,Delivered,2026-09-15T08:30
ASN040,SH040,,,,Pending,2026-09-18T09:30
ASN041,SH041,V041,R068,6500,22,In_Transit,2026-09-16T13:30
ASN042,SH042,V015,R030,5000,17,Delivered,2026-09-15T11:30
ASN043,SH043,,,,Misplaced,2026-09-17T07:30
ASN044,SH044,V016,R031,4500,15,In_Transit,2026-09-16T12:30
ASN045,SH045,V011,R021,5500,18,Delivered,2026-09-15T10:30
ASN046,SH046,V005,R006,2500,8,Delivered,2026-09-15T14:30
ASN047,SH047,V007,R015,3500,12,Delivered,2026-09-16T09:30
ASN048,SH048,V013,R026,4000,13,Delivered,2026-09-15T13:30
ASN049,SH049,V012,R022,7500,25,Delivered,2026-09-14T08:30
ASN050,SH050,,,,Misplaced,2026-09-17T10:30
ASN051,SH051,V008,R016,3000,10,Delivered,2026-09-16T14:30
ASN052,SH052,V004,R005,4500,15,Delivered,2026-09-15T11:30
ASN053,SH053,V013,R026,6000,20,In_Transit,2026-09-16T10:30
ASN054,SH054,V005,R006,2000,7,Delivered,2026-09-15T15:30
ASN055,SH055,V001,R001,3500,12,Delivered,2026-09-16T11:30
ASN056,SH056,,,,Misplaced,2026-09-17T09:30
ASN057,SH057,V016,R031,4000,13,Delivered,2026-09-16T13:30
ASN058,SH058,V003,R004,3000,10,In_Transit,2026-09-17T12:30
ASN059,SH059,V012,R022,5500,18,Delivered,2026-09-15T09:30
ASN060,SH060,V019,R040,2500,8,Delivered,2026-09-15T14:30
ASN061,SH061,V001,R001,6500,22,Delivered,2026-09-15T10:30
ASN062,SH062,V003,R004,3000,10,Delivered,2026-09-15T12:30
ASN063,SH063,V013,R026,4500,15,Delivered,2026-09-16T11:30
ASN064,SH064,V002,R002,5000,17,In_Transit,2026-09-17T08:30
ASN065,SH065,,,,Misplaced,2026-09-17T07:30
ASN066,SH066,V041,R068,6000,20,Delivered,2026-09-15T11:30
ASN067,SH067,V015,R030,3500,12,Delivered,2026-09-16T10:30
ASN068,SH068,V009,R017,4000,13,In_Transit,2026-09-17T13:30
ASN069,SH069,V007,R015,2000,7,Delivered,2026-09-15T14:30
ASN070,SH070,V008,R016,5500,18,Delivered,2026-09-16T12:30
ASN071,SH071,V012,R022,7000,23,Delivered,2026-09-14T10:30
ASN072,SH072,V016,R031,4500,15,In_Transit,2026-09-17T11:30
ASN073,SH073,V001,R001,3000,10,Delivered,2026-09-15T13:30
ASN074,SH074,,,,Misplaced,2026-09-17T09:30
ASN075,SH075,V041,R068,3500,12,Delivered,2026-09-16T11:30
ASN076,SH076,V011,R021,6000,20,Delivered,2026-09-15T09:30
ASN077,SH077,V004,R005,4000,13,Delivered,2026-09-15T10:30
ASN078,SH078,V015,R030,2500,8,In_Transit,2026-09-16T14:30
ASN079,SH079,V021,R043,5500,18,Delivered,2026-09-15T12:30
ASN080,SH080,,,,Misplaced,2026-09-17T08:30
ASN081,SH081,V007,R015,4500,15,Delivered,2026-09-15T10:30
ASN082,SH082,V008,R016,3500,12,Delivered,2026-09-16T09:30
ASN083,SH083,V003,R004,4000,13,In_Transit,2026-09-17T13:30
ASN084,SH084,V007,R015,5000,17,Delivered,2026-09-15T11:30
ASN085,SH085,,,,Misplaced,2026-09-17T10:30
ASN086,SH086,V003,R004,6500,22,In_Transit,2026-09-16T10:30
ASN087,SH087,V041,R068,2000,7,Delivered,2026-09-16T14:30
ASN088,SH088,V011,R021,3000,10,Delivered,2026-09-15T13:30
ASN089,SH089,V012,R022,7000,23,Delivered,2026-09-14T09:30
ASN090,SH090,V019,R040,4500,15,In_Transit,2026-09-17T11:30
ASN091,SH091,,,,Misplaced,2026-09-17T07:30
ASN092,SH092,V007,R015,5000,17,Delivered,2026-09-15T10:30
ASN093,SH093,V001,R001,2500,8,Delivered,2026-09-16T12:30
ASN094,SH094,V041,R068,6000,20,Delivered,2026-09-15T09:30
ASN095,SH095,V005,R006,3000,10,Delivered,2026-09-15T14:30
ASN096,SH096,V002,R002,4500,15,Delivered,2026-09-16T10:30
ASN097,SH097,V011,R021,5500,18,In_Transit,2026-09-17T12:30
ASN098,SH098,,,,Misplaced,2026-09-17T09:30
ASN099,SH099,V041,R068,6500,22,Delivered,2026-09-15T10:30
ASN100,SH100,V007,R015,3500,12,Delivered,2026-09-15T11:30
ASN101,SH101,V011,R021,4000,13,In_Transit,2026-09-17T08:30
ASN102,SH102,V012,R022,5000,17,Delivered,2026-09-15T12:30
ASN103,SH103,,,,Misplaced,2026-09-17T10:30
ASN104,SH104,V001,R001,4500,15,Delivered,2026-09-15T09:30
ASN105,SH105,V019,R040,6000,20,In_Transit,2026-09-16T13:30
ASN106,SH106,V003,R004,3500,12,Delivered,2026-09-15T10:30
ASN107,SH107,V004,R005,2500,8,Delivered,2026-09-16T14:30
ASN108,SH108,V013,R026,5500,18,In_Transit,2026-09-17T11:30
ASN109,SH109,V008,R016,4000,13,Delivered,2026-09-15T13:30
ASN110,SH110,V003,R004,5000,17,In_Transit,2026-09-17T09:30
ASN111,SH111,V002,R002,3000,10,Delivered,2026-09-15T12:30
ASN112,SH112,V015,R030,4500,15,In_Transit,2026-09-16T11:30
ASN113,SH113,V005,R006,2000,7,Delivered,2026-09-16T13:30
ASN114,SH114,V041,R068,6000,20,Delivered,2026-09-15T10:30
ASN115,SH115,,,,Misplaced,2026-09-17T08:30
ASN116,SH116,V001,R001,3500,12,Delivered,2026-09-15T11:30
ASN117,SH117,V011,R021,4000,13,In_Transit,2026-09-16T14:30
ASN118,SH118,V007,R015,2500,8,Delivered,2026-09-15T13:30
ASN119,SH119,V012,R022,5000,17,Delivered,2026-09-15T12:30
ASN120,SH120,V004,R005,4500,15,Delivered,2026-09-16T09:30
ASN121,SH121,V015,R030,3500,12,In_Transit,2026-09-17T11:30
ASN122,SH122,V003,R004,4000,13,Delivered,2026-09-15T10:30
ASN123,SH123,,,,Misplaced,2026-09-17T09:30
ASN124,SH124,V041,R068,5500,18,In_Transit,2026-09-16T13:30
ASN125,SH125,V001,R001,2500,8,Delivered,2026-09-16T12:30
ASN126,SH126,V011,R021,5000,17,In_Transit,2026-09-17T10:30
ASN127,SH127,V012,R022,6500,22,Delivered,2026-09-14T08:30
ASN128,SH128,V004,R005,4000,13,Delivered,2026-09-15T13:30
ASN129,SH129,V002,R002,3500,12,In_Transit,2026-09-17T12:30
ASN130,SH130,V003,R004,5500,18,Delivered,2026-09-15T09:30
ASN131,SH131,V019,R040,3000,10,In_Transit,2026-09-17T08:30
ASN132,SH132,,,,Misplaced,2026-09-17T10:30
ASN133,SH133,V008,R016,4000,13,Delivered,2026-09-15T12:30
ASN134,SH134,V002,R002,5000,17,In_Transit,2026-09-16T13:30
ASN135,SH135,V013,R026,6000,20,Delivered,2026-09-15T10:30
ASN136,SH136,,,,Misplaced,2026-09-17T09:30
ASN137,SH137,V003,R004,4000,13,In_Transit,2026-09-17T11:30
ASN138,SH138,V041,R068,5500,18,Delivered,2026-09-15T11:30
ASN139,SH139,,,,Misplaced,2026-09-17T07:30
ASN140,SH140,V003,R004,4500,15,In_Transit,2026-09-16T10:30
ASN141,SH141,V009,R017,3000,10,Delivered,2026-09-15T14:30
ASN142,SH142,V015,R030,5000,17,In_Transit,2026-09-16T12:30
ASN143,SH143,V012,R022,6500,22,In_Transit,2026-09-16T08:30
ASN144,SH144,V005,R006,4000,13,Delivered,2026-09-15T13:30
ASN145,SH145,V016,R031,3500,12,In_Transit,2026-09-16T11:30
ASN146,SH146,V002,R002,5000,17,In_Transit,2026-09-16T14:30
ASN147,SH147,V041,R068,5500,18,Delivered,2026-09-15T09:30
ASN148,SH148,V011,R021,3000,10,In_Transit,2026-09-17T10:30
ASN149,SH149,,,,Misplaced,2026-09-17T08:30
ASN150,SH150,V007,R015,4500,15,Delivered,2026-09-15T11:30
ASN151,SH151,V041,R068,6000,20,In_Transit,2026-09-15T12:30
ASN152,SH152,V001,R001,3500,12,Delivered,2026-09-15T10:30
ASN153,SH153,V011,R021,4000,13,In_Transit,2026-09-17T13:30
ASN154,SH154,V007,R015,2500,8,Delivered,2026-09-15T14:30
ASN155,SH155,,,,Misplaced,2026-09-16T09:30
ASN156,SH156,V011,R021,4500,15,Delivered,2026-09-15T11:30
ASN157,SH157,V015,R030,3000,10,In_Transit,2026-09-17T10:30
ASN158,SH158,V012,R022,7000,23,Delivered,2026-09-14T09:30
ASN159,SH159,V041,R068,3500,12,In_Transit,2026-09-17T08:30
ASN160,SH160,V008,R016,5000,17,Delivered,2026-09-15T13:30
ASN161,SH161,V003,R004,4000,13,In_Transit,2026-09-17T11:30
ASN162,SH162,,,,Misplaced,2026-09-17T09:30
ASN163,SH163,V008,R016,4500,15,Delivered,2026-09-15T10:30
ASN164,SH164,V012,R022,6000,20,In_Transit,2026-09-15T12:30
ASN165,SH165,V011,R021,3500,12,In_Transit,2026-09-17T10:30
ASN166,SH166,,,,Misplaced,2026-09-16T13:30
ASN167,SH167,V005,R006,2000,7,Delivered,2026-09-15T14:30
ASN168,SH168,V011,R021,5000,17,In_Transit,2026-09-17T08:30
ASN169,SH169,V002,R002,3000,10,Delivered,2026-09-15T11:30
ASN170,SH170,,,,Misplaced,2026-09-17T09:30
ASN171,SH171,V041,R068,5500,18,In_Transit,2026-09-16T10:30
ASN172,SH172,V015,R030,3500,12,In_Transit,2026-09-15T12:30
ASN173,SH173,V003,R004,5000,17,Delivered,2026-09-15T10:30
ASN174,SH174,,,,Misplaced,2026-09-17T10:30
ASN175,SH175,V041,R068,3000,10,In_Transit,2026-09-17T11:30
ASN176,SH176,V004,R005,4500,15,Delivered,2026-09-15T13:30
ASN177,SH177,,,,Misplaced,2026-09-17T07:30
ASN178,SH178,V015,R030,3500,12,Delivered,2026-09-15T10:30
ASN179,SH179,V003,R004,5000,17,In_Transit,2026-09-15T11:30
ASN180,SH180,,,,Misplaced,2026-09-17T09:30
ASN181,SH181,V011,R021,5500,18,Delivered,2026-09-15T13:30
ASN182,SH182,V041,R068,4000,13,In_Transit,2026-09-16T14:30
ASN183,SH183,V008,R016,3000,10,Delivered,2026-09-15T12:30
ASN184,SH184,V001,R001,6500,22,Delivered,2026-09-15T10:30
ASN185,SH185,,,,Misplaced,2026-09-17T08:30
ASN186,SH186,V003,R004,4500,15,In_Transit,2026-09-17T12:30
ASN187,SH187,,,,Misplaced,2026-09-17T09:30
ASN188,SH188,V007,R015,5000,17,Delivered,2026-09-15T11:30
ASN189,SH189,V019,R040,3500,12,In_Transit,2026-09-16T10:30
ASN190,SH190,V012,R022,7000,23,Delivered,2026-09-14T09:30
ASN191,SH191,V011,R021,4000,13,Delivered,2026-09-15T12:30
ASN192,SH192,V001,R001,2500,8,Delivered,2026-09-15T14:30
ASN193,SH193,V019,R040,5500,18,In_Transit,2026-09-17T13:30
ASN194,SH194,V003,R004,3000,10,In_Transit,2026-09-16T11:30
ASN195,SH195,V021,R043,6000,20,Delivered,2026-09-15T10:30
ASN196,SH196,,,,Misplaced,2026-09-17T08:30
ASN197,SH197,V016,R031,3500,12,Delivered,2026-09-15T11:30
ASN198,SH198,V011,R021,4000,13,In_Transit,2026-09-17T10:30
ASN199,SH199,V012,R022,6500,22,In_Transit,2026-09-15T09:30
ASN200,SH200,V013,R026,5000,17,In_Transit,2026-09-17T12:30
