Shipment_ID,Shipper,Origin_Hub,Destination_Hub,Current_Hub,Weight_kg,Priority,Deadline,Status,Shipment_Type,Anomaly_Flag,Deviation_KM
SH001,Flipkart,H01,H02,H02,3500,High,2026-09-19T18:00,Delivered,Electronics,No,0
SH002,Amazon,H06,H08,H04,5000,Medium,2026-09-20T12:00,In_Transit,Raw_Materials,No,0
SH003,Reliance,H01,H02,H07,2000,High,2026-09-19T20:00,Misplaced,Office_Supplies,Yes,93.4
SH004,Tata Motors,H01,H02,H05,4500,Critical,2026-09-19T22:00,Misplaced,Electronics,Yes,203.7
SH005,Zomato,H06,H04,H05,3000,Medium,2026-09-20T18:00,In_Transit,Packaging,No,0
SH006,Swiggy,H01,H03,H03,4000,High,2026-09-20T15:00,Delivered,MRO,No,0
SH007,Blinkit,H02,H01,H01,2500,Critical,2026-09-18T20:00,Delivered,Electronics,No,0
SH008,DMart,H04,H08,H08,6000,High,2026-09-19T18:00,Delivered,Raw_Materials,No,0
SH009,Flipkart,H03,H01,H18,3000,Critical,2026-09-19T20:00,Misplaced,Office_Supplies,Yes,145.6
SH010,Amazon,H01,H05,H05,1500,Low,2026-09-18T22:00,Delivered,Packaging,No,0
SH011,Reliance,H05,H02,H05,5500,Medium,2026-09-19T22:00,In_Transit,Raw_Materials,No,0
SH012,Tata Motors,H06,H01,H01,4000,Critical,2026-09-18T20:00,Delivered,Electronics,No,0
SH013,Zomato,H07,H02,H02,2000,Medium,2026-09-19T20:00,Delivered,MRO,No,0
SH014,Swiggy,H01,H08,H08,7000,High,2026-09-20T18:00,Delivered,Raw_Materials,No,0
SH015,Blinkit,H04,H03,H03,3500,Medium,2026-09-20T15:00,In_Transit,Office_Supplies,No,0
SH016,DMart,H01,H02,H02,2500,Low,2026-09-19T18:00,Delivered,Packaging,No,0
SH017,Flipkart,H03,H04,H11,4000,High,2026-09-19T20:00,Misplaced,Electronics,Yes,109.0
SH018,Amazon,H02,H05,H05,5000,Medium,2026-09-19T22:00,Delivered,Raw_Materials,No,0
SH019,Reliance,H01,H06,H06,3000,Critical,2026-09-18T20:00,Delivered,Office_Supplies,No,0
SH020,Tata Motors,H08,H01,H01,6500,High,2026-09-20T18:00,Delivered,Electronics,No,0
SH021,Zomato,H05,H07,H07,2000,Low,2026-09-19T20:00,In_Transit,Packaging,No,0
SH022,Swiggy,H01,H02,H02,4500,Medium,2026-09-19T18:00,Delivered,MRO,No,0
SH023,Blinkit,H07,H01,H16,3500,Critical,2026-09-19T20:00,Misplaced,Raw_Materials,Yes,81.2
SH024,DMart,H04,H08,H08,5500,High,2026-09-19T18:00,Delivered,Electronics,No,0
SH025,Flipkart,H01,H03,H03,3000,Medium,2026-09-19T20:00,Delivered,Office_Supplies,No,0
SH026,Amazon,H02,H01,H01,2500,Low,2026-09-18T22:00,Delivered,Packaging,No,0
SH027,Reliance,H03,H02,H02,6000,High,2026-09-20T15:00,In_Transit,Raw_Materials,No,0
SH028,Tata Motors,H01,H05,H05,4000,Critical,2026-09-18T20:00,Delivered,Electronics,No,0
SH029,Zomato,H06,H03,H03,3500,Medium,2026-09-20T18:00,In_Transit,MRO,No,0
SH030,Swiggy,H02,H08,H08,4500,High,2026-09-19T18:00,Delivered,Office_Supplies,No,0
SH031,Blinkit,H01,H07,H07,1500,Low,2026-09-18T20:00,Delivered,Packaging,No,0
SH032,DMart,H04,H01,H01,5000,Medium,2026-09-19T18:00,Delivered,Raw_Materials,No,0
SH033,Flipkart,H03,H08,H08,7000,High,2026-09-20T18:00,Delivered,Electronics,No,0
SH034,Amazon,H01,H02,H02,3000,Medium,2026-09-19T18:00,Delivered,MRO,No,0
SH035,Reliance,H05,H01,H16,2500,High,2026-09-19T20:00,Misplaced,Packaging,Yes,171.7
SH036,Tata Motors,H07,H04,H04,4000,Medium,2026-09-19T20:00,In_Transit,Raw_Materials,No,0
SH037,Zomato,H01,H06,H06,2000,Low,2026-09-18T22:00,Delivered,Packaging,No,0
SH038,Swiggy,H02,H03,H03,5500,High,2026-09-20T15:00,In_Transit,Electronics,No,0
SH039,Blinkit,H08,H01,H01,4000,Critical,2026-09-19T18:00,Delivered,Office_Supplies,No,0
SH040,DMart,H01,H04,H04,3500,Medium,2026-09-19T20:00,Pending,MRO,No,0
SH041,Flipkart,H03,H02,H02,6500,High,2026-09-20T18:00,In_Transit,Raw_Materials,No,0
SH042,Amazon,H05,H08,H08,5000,Medium,2026-09-19T18:00,Delivered,Electronics,No,0
