Shipment_ID,Shipper,Origin_Hub,Destination_Hub,Dispatch_Date,Expected_Delivery,Actual_Delivery,Cargo_Category,Shipment_Status,Weight_Tons,Truck_ID,Truck_Capacity_Tons,Spare_Capacity_Tons,Current_Hub,Priority,Recovery_Mode,Detour_KM,Cost_Saved_USD,Carbon_Saved_kg,Compliance
SHP-1001,Flipkart,Hyderabad,Warangal,2026-09-17,2026-09-19,2026-09-19,Electronics,Delivered,3.5,TRK-003,20,0,Warangal,High,N/A,0,0,0,Yes
SHP-1002,Amazon,Mahbubnagar,Adilabad,2026-09-16,2026-09-20,,Raw Materials,In Transit,5.0,TRK-002,16,6,Karimnagar,Medium,N/A,0,0,0,Yes
SHP-1003,Reliance,Hyderabad,Warangal,2026-09-17,2026-09-19,2026-09-19,Office Supplies,Misplaced,2.0,,0,0,Nalgonda,High,Relay,8,540,180,Yes
SHP-1004,Tata Motors,Hyderabad,Warangal,2026-09-17,2026-09-19,2026-09-19,Electronics,Misplaced,4.5,TRK-004,14,8,Nalgonda,Critical,Direct Piggyback,0,650,250,Yes
SHP-1005,Zomato,Mahbubnagar,Karimnagar,2026-09-18,2026-09-20,,Packaging,In Transit,3.0,TRK-004,14,8,Khammam,Medium,N/A,0,0,0,Yes
SHP-1006,Swiggy,Hyderabad,Nizamabad,2026-09-17,2026-09-20,2026-09-20,MRO,Delivered,4.0,TRK-006,18,4,Nizamabad,High,N/A,0,0,0,Yes
SHP-1007,Blinkit,Warangal,Hyderabad,2026-09-16,2026-09-18,2026-09-18,Electronics,Delivered,2.5,TRK-008,12,2,Hyderabad,Critical,N/A,0,0,0,Yes
SHP-1008,DMart,Karimnagar,Adilabad,2026-09-15,2026-09-19,2026-09-19,Raw Materials,Delivered,6.0,TRK-009,20,8,Adilabad,High,N/A,0,0,0,Yes
SHP-1009,Flipkart,Nizamabad,Hyderabad,2026-09-17,2026-09-19,,Office Supplies,Misplaced,3.0,,0,0,Nizamabad,Critical,Direct Piggyback,12,480,160,Yes
SHP-1010,Amazon,Hyderabad,Khammam,2026-09-16,2026-09-18,2026-09-18,Packaging,Delivered,1.5,TRK-011,12,4,Khammam,Low,N/A,0,0,0,Yes
SHP-1011,Reliance,Khammam,Warangal,2026-09-17,2026-09-19,,Raw Materials,In Transit,5.5,TRK-012,16,5,Khammam,Medium,N/A,0,0,0,Yes
SHP-1012,Tata Motors,Mahbubnagar,Hyderabad,2026-09-15,2026-09-17,2026-09-17,Electronics,Delivered,4.0,TRK-013,18,6,Hyderabad,Critical,N/A,0,0,0,Yes
SHP-1013,Zomato,Nalgonda,Warangal,2026-09-16,2026-09-18,2026-09-18,MRO,Delivered,2.0,TRK-014,12,2,Warangal,Medium,N/A,0,0,0,Yes
SHP-1014,Swiggy,Hyderabad,Adilabad,2026-09-14,2026-09-18,2026-09-18,Raw Materials,Delivered,7.0,TRK-015,20,10,Adilabad,High,N/A,0,0,0,Yes
SHP-1015,Blinkit,Karimnagar,Nizamabad,2026-09-16,2026-09-19,,Office Supplies,In Transit,3.5,TRK-016,14,6,Nizamabad,Medium,N/A,0,0,0,Yes
